folioviv,ingreso_trimestral,educacion_jefe
0903701206,31325.96,7
0903721601,75998.33,10
0903721602,88081.94,10
0903721603,110458.97,4
0903721604,193672.12,10
0903721605,316721.26,7
0903721606,64696.71,11
0903723801,91745.87000000001,4
0903723802,237083.57,6
0903723804,128729.49,10
0903723806,149016.31,11
0903747201,30788.940000000002,6
0903747202,40957.420000000006,10
0903747203,21977.879999999997,6
0903747204,17403.3,8
0903747205,6762.42,6
0903747206,53864.71,8
0903758401,35853.24,6
0903758402,61630.42,10
0903758403,69065.19,6
0903758404,46418.46,6
0903758405,105779.32,8
0903758406,22010.86,6
0903818401,28614.12,4
0903818402,19714.87,6
0903818403,102277.16,8
0903818404,14673.91,10
0903818405,51114.11,7
0903818406,23038.03,3
0904393601,26114.739999999998,6
0904393603,69344.24,4
0904393604,31180.31,10
0904393605,36752.45,10
0904393606,59016.380000000005,4
0904417801,43032.78,10
0904417802,13352.45,6
0904417804,94426.22,6
0904417805,41090.15,10
0904417806,20434.41,3
0904566601,114639.31,7
0904566602,7081.96,6
0904566603,22819.65,3
0904566604,45147.5,7
0904566605,28721.28,4
0904566606,53778.64,6
0904595801,39172.09,6
0904595803,16032.77,3
0904595804,23276.04,4
0904595805,25819.67,6
0904595806,20291.78,8
0904684001,41086.95,7
0904684002,17413.03,6
0904684003,19271.73,4
0904684004,29347.82,8
0904684005,45146.729999999996,10
0904684006,36394.229999999996,8
0904776301,20548.84,6
0904776302,59673.899999999994,11
0904776303,62324.94,3
0904776304,48472.810000000005,6
0904776305,40502.91,6
0904837501,52826.08,10
0904837502,159456.51,3
0904837503,21521.73,6
0904837504,61141.299999999996,1
0904837506,52679.32,3
0904979701,16918.02,6
0904979702,14901.619999999999,6
0904979704,29311.46,7
0904979705,64003.270000000004,10
0904979706,19991.79,3
0905071001,24945.65,6
0905071002,43711.12,4
0905071003,56788.03,10
0905071004,153244.53,9
0905071004,153244.53,10
0905071005,10540.75,3
0905071006,63097.81,6
0905073301,35217.39,6
0905073302,33109.2,3
0905073303,30751.61,6
0905073304,36880.42,7
0905073305,37046.71,7
0905073306,40553.76,8
0905245501,39448.34,10
0905245502,50370.62,4
0905245503,43508.12,4
0905245504,39913.009999999995,6
0905245505,21130.42,7
0905245506,52826.08,8
0905387702,42462.28,6
0905387703,8980.31,6
0905387704,34549.15,6
0905387705,23458.96,4
0905485901,113243.45,3
0905485902,159823.34,10
0905485903,17388.579999999998,8
0905485904,40353.25,4
0905485905,100428.23000000001,3
0905485906,18122.27,6
0905539201,39331.46,7
0905539202,68917.1,10
0905539203,43259.659999999996,10
0905539204,35801.1,10
0905539205,119337.01,6
0905539206,26676.780000000002,6
0905728001,94402.15,10
0905728002,31157.6,10
0905728003,116706.5,8
0905728004,164103.23,10
0905728006,369293.46,11
0905811401,51353.78,3
0905811403,52452.32,6
0905811404,53779.86,7
0905811405,108410.84,11
0905811406,64139.649999999994,9
0905880901,52385.85,10
0905880902,37858.659999999996,3
0905880903,67059.76,5
0905880904,11646.18,3
0905880905,29347.82,5
0905880906,164533.67,10
0905883601,74508.19,10
0905883603,65380.31,10
0905883604,49819.65,10
0905883605,86065.56,10
0905883606,5680.32,4
0905901802,97040.13,8
0905901803,265239.29,8
0905901804,7991.77,8
0905901805,37622.93,8
0905901806,73175.37,7
0905963003,32478.25,8
0905963004,11616.83,4
0905963005,19711.95,8
0905963006,6505.43,6
0905996301,60334.21000000001,11
0905996302,170951.06,11
0905996303,71559.77,8
0905996304,106248.90000000001,10
0905996305,32571.17,5
0905996306,332706.5,10
0906065501,158967.36000000002,10
0906065505,49353.24,7
0906065506,31304.329999999998,10
0906153701,110901.63,10
0906153704,87688.5,5
0906153705,78639.31999999999,9
0906153706,31967.199999999997,8
0906194901,89266.28,8
0906194902,45611.4,6
0906194903,92797.79999999999,10
0906194904,49935.31,8
0906194905,31010.86,6
0906194906,51643.34,4
0906272201,133259.64,10
0906272203,114588.37000000001,6
0906272204,33576.93,7
0906272205,15290.05,1
0906272206,107296.36,7
0906272206,107296.36,8
0906314201,30406.06,3
0906314202,33837.0,6
0906314203,89428.16,8
0906314204,46988.939999999995,11
0906314205,35850.81,4
0906314206,61408.83,4
0906394401,32297.27,6
0906394402,4108.69,4
0906394403,46988.28,3
0906394404,28247.260000000002,6
0906394405,42114.11,9
0906394406,33749.98,11
0906487401,58724.96,5
0906487402,73271.70999999999,6
0906487403,30815.21,6
0906487404,63092.9,11
0906487405,99122.22,6
0906487406,110372.25,8
0906500301,58695.649999999994,10
0906500302,97146.17,10
0906500303,38983.689999999995,10
0906500304,100711.42,8
0906500305,129130.41,10
0906500306,122331.5,10
0906575601,86704.89,11
0906575602,20065.55,6
0906575603,49721.29,8
0906575605,67150.79,8
0906575606,20655.73,10
0906623601,14532.77,1
0906623602,22426.22,4
0906623603,27245.88,8
0906623604,19475.39,6
0906623606,8134.42,6
0906675501,43801.619999999995,3
0906675502,42211.939999999995,10
0906675503,26853.239999999998,6
0906675505,47396.729999999996,8
0906675506,62608.659999999996,10
0907131801,43918.02,6
0907131802,39442.61,6
0907131803,29311.45,6
0907131804,23655.72,9
0907131805,11451.63,5
0907131806,76915.54000000001,8
0907264801,95409.81999999999,8
0907264802,12737.7,11
0907264803,12762.279999999999,4
0907264804,39614.72,4
0907264805,47213.11,8
0907264806,26877.03,4
0907422001,21790.739999999998,10
0907422002,49402.15,6
0907422003,47357.57,1
0907422004,23258.14,10
0907422006,51603.24,1
0907487001,34997.27,6
0907487002,62608.630000000005,1
0907487004,116951.06,10
0907487005,83621.72,9
0907487006,98559.76,10
0907507301,34997.27,11
0907507303,38103.25,7
0907507304,33260.86,8
0907507305,53095.1,7
0907507306,17168.47,8
